# Valeurs d'achat et de service du point, régime par régime
# source_id: openfisca_points (Agirc depuis 1947, Ircantec depuis 1949)
#
# mesure :
#   salaire_reference : prix d'achat du point, en euros courants de l'année.
#                       cotisation / (taux_appel × salaire_reference) = points acquis
#   valeur_service    : rente annuelle servie par un point, euros courants
#   taux_appel        : écart entre ce qui est prélevé et ce qui ouvre des
#                       droits. 1,25 depuis 1995 : cotiser 125 € n'acquiert
#                       que 100 € de points.
#
# Règle annuelle : valeur en vigueur au 31 décembre de l'année. Le salaire
# de référence change au 1er janvier, la valeur de service au 1er avril
# autrefois et au 1er novembre aujourd'hui.
#
# fiabilite :
#   haute   : transcription OpenFisca du texte de la circulaire
#   moyenne : valeurs de l'UNIRS tenant lieu de point Arrco avant son
#             unification de 1999, ou valeur saisie depuis le texte légal
#
# Repère de contrôle : Agirc-Arrco 2025, salaire de référence 20,1877 €,
# valeur de service 1,4386 €, taux d'appel 1,27 — soit un rendement
# instantané de 5,61 %, la valeur que publie le régime.
#
# Fichier écrit par scripts/verifier_donnees.py --appliquer : ne pas
# modifier à la main.
regime,annee,mesure,valeur,fiabilite
igrante,1962,salaire_reference,0.227000,haute
igrante,1962,valeur_service,0.035060,haute
igrante,1963,salaire_reference,0.250000,haute
igrante,1963,valeur_service,0.038870,haute
igrante,1964,salaire_reference,0.265000,haute
igrante,1964,valeur_service,0.042690,haute
igrante,1965,salaire_reference,0.277000,haute
igrante,1965,valeur_service,0.045730,haute
igrante,1966,salaire_reference,0.288000,haute
igrante,1966,valeur_service,0.046650,haute
igrante,1967,salaire_reference,0.300000,haute
igrante,1967,valeur_service,0.048780,haute
igrante,1968,salaire_reference,0.345000,haute
igrante,1968,valeur_service,0.052140,haute
igrante,1969,salaire_reference,0.369000,haute
igrante,1969,valeur_service,0.055640,haute
igrante,1970,salaire_reference,0.395000,haute
igrante,1970,valeur_service,0.059760,haute
igrante,1971,valeur_service,0.064490,haute
igrante,1972,valeur_service,0.069820,haute
igrante,1973,valeur_service,0.075770,haute
igrante,1974,valeur_service,0.088120,haute
igrante,1975,valeur_service,0.100460,haute
igrante,1976,valeur_service,0.114030,haute
igrante,1977,valeur_service,0.126990,haute
igrante,1978,valeur_service,0.139190,haute
igrante,1979,valeur_service,0.154280,haute
igrante,1980,valeur_service,0.176230,haute
igrante,1981,valeur_service,0.197880,haute
igrante,1982,valeur_service,0.228370,haute
igrante,1983,valeur_service,0.250930,haute
igrante,1984,valeur_service,0.264960,haute
igrante,1985,valeur_service,0.278680,haute
igrante,1986,valeur_service,0.284770,haute
igrante,1987,valeur_service,0.289350,haute
igrante,1988,valeur_service,0.294230,haute
igrante,1989,valeur_service,0.304140,haute
igrante,1990,valeur_service,0.313740,haute
igrante,1991,valeur_service,0.319230,haute
igrante,1992,valeur_service,0.329440,haute
igrante,1993,valeur_service,0.339660,haute
igrante,1994,valeur_service,0.343620,haute
igrante,1995,valeur_service,0.351700,haute
igrante,1996,valeur_service,0.356580,haute
igrante,1997,valeur_service,0.358410,haute
igrante,1998,valeur_service,0.364660,haute
igrante,1999,valeur_service,0.372890,haute
igrante,2000,valeur_service,0.378990,haute
igrante,2001,valeur_service,0.391180,haute
igrante,2002,valeur_service,0.400210,haute
igrante,2003,valeur_service,0.403010,haute
igrante,2004,valeur_service,0.409390,haute
igrante,2005,valeur_service,0.417580,haute
igrante,2006,valeur_service,0.425100,haute
igrante,2007,valeur_service,0.432750,haute
igrante,2008,valeur_service,0.441010,haute
igrante,2009,valeur_service,0.445420,haute
igrante,2010,valeur_service,0.449430,haute
igrante,2011,valeur_service,0.458870,haute
igrante,2012,valeur_service,0.468510,haute
igrante,2013,valeur_service,0.474600,haute
igrante,2014,valeur_service,0.474600,haute
igrante,2015,valeur_service,0.475070,haute
igrante,2016,valeur_service,0.475070,haute
igrante,2017,valeur_service,0.478870,haute
igrante,2018,valeur_service,0.478870,haute
igrante,2019,valeur_service,0.480310,haute
igrante,2020,valeur_service,0.485110,haute
igrante,2021,valeur_service,0.487050,haute
igrante,2022,valeur_service,0.492410,haute
ipacte,1947,salaire_reference,0.040000,haute
ipacte,1948,salaire_reference,0.560000,haute
