# Dépenses du risque vieillesse-survie, ventilées par système, France
# source_id: drees_comptes_protection_sociale
# unite: millions d'euros courants de l'année
# fiabilite:
#   certifiee (1990-2024) : prestations du poste E11-2 par organisme,
#             regroupées selon REGIMES_CPS dans
#             scripts/verifier_donnees.py, qui les recontrôle contre
#             l'API de la DREES et vérifie que leur somme rend le total.
#
# POURQUOI LA VENTILATION NE COMMENCE QU'EN 1990
# -----------------------------------------------
# La DREES ventile bien le risque depuis 1981, mais dans une nomenclature
# différente — « Régime général de la Sécurité sociale », « Régimes
# spéciaux », « Régimes de l'État et des entreprises publiques » — dont
# les périmètres ne se recoupent pas avec ceux de 1990 : les
# complémentaires n'y sont pas encore séparées de l'Agirc et de l'Arrco.
# Personne n'a publié le raccord. Ces neuf années sont une impasse, et
# le total, lui, les couvre depuis 1959.
#
# LE DÉCOUPAGE EST CELUI DE LA COMPTABILITÉ NATIONALE
# ----------------------------------------------------
# La DREES ventile par SECTEUR INSTITUTIONNEL et non par caisse. Deux
# conséquences qu'il faut connaître pour lire ces chiffres :
#   * « regimes_speciaux » réunit la CNRACL, la SNCF, la RATP, les IEG et
#     les autres — la fonction publique territoriale et hospitalière y est
#     donc, et non avec l'État ;
#   * « regime_general » absorbe, à compter de 2020, les artisans et les
#     commerçants, dont le régime a été adossé à la Cnav.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,regime,depenses_meur,fiabilite
2017,fonction_publique_etat,53287.8,certifiee
2017,ircantec,2947.0,certifiee
2017,non_salaries_autres,9967.9,certifiee
2017,professions_liberales,5886.9,certifiee
2017,regime_general,117200.5,certifiee
2017,regimes_speciaux,29860.6,certifiee
2017,repartition_autres,1538.6,certifiee
2017,salaries_agricoles,4726.5,certifiee
2017,solidarite_etat,1210.8,certifiee
2017,supplementaire,13458.4,certifiee
2018,agirc_arrco,79649.0,certifiee
2018,aide_sociale_locale,8929.6,certifiee
2018,exploitants_agricoles,9102.3,certifiee
2018,fonction_publique_etat,54284.8,certifiee
2018,ircantec,3079.6,certifiee
2018,non_salaries_autres,2517.5,certifiee
2018,professions_liberales,6195.1,certifiee
2018,regime_general,128331.3,certifiee
2018,regimes_speciaux,30790.6,certifiee
2018,repartition_autres,1560.3,certifiee
2018,salaries_agricoles,4701.3,certifiee
2018,solidarite_etat,1589.4,certifiee
2018,supplementaire,13821.5,certifiee
2019,agirc_arrco,81456.0,certifiee
2019,aide_sociale_locale,9042.6,certifiee
2019,exploitants_agricoles,9056.1,certifiee
2019,fonction_publique_etat,55062.6,certifiee
2019,ircantec,3212.0,certifiee
2019,non_salaries_autres,2595.1,certifiee
2019,professions_liberales,6519.8,certifiee
2019,regime_general,131378.4,certifiee
2019,regimes_speciaux,31564.0,certifiee
2019,repartition_autres,1597.1,certifiee
2019,salaries_agricoles,4678.7,certifiee
2019,solidarite_etat,1522.8,certifiee
2019,supplementaire,14214.4,certifiee
2020,agirc_arrco,83054.2,certifiee
2020,aide_sociale_locale,9106.5,certifiee
2020,exploitants_agricoles,9425.5,certifiee
2020,fonction_publique_etat,55732.6,certifiee
2020,ircantec,3364.0,certifiee
2020,non_salaries_autres,2642.4,certifiee
2020,professions_liberales,6838.0,certifiee
2020,regime_general,134654.8,certifiee
2020,regimes_speciaux,32375.6,certifiee
2020,repartition_autres,1010.8,certifiee
2020,salaries_agricoles,4894.7,certifiee
2020,solidarite_etat,1480.1,certifiee
2020,supplementaire,14950.3,certifiee
2021,agirc_arrco,84097.5,certifiee
2021,aide_sociale_locale,9296.2,certifiee
2021,exploitants_agricoles,9432.1,certifiee
2021,fonction_publique_etat,56404.3,certifiee
2021,ircantec,3523.3,certifiee
2021,non_salaries_autres,2743.9,certifiee
2021,professions_liberales,7149.7,certifiee
2021,regime_general,137748.3,certifiee
2021,regimes_speciaux,33018.4,certifiee
2021,repartition_autres,1101.2,certifiee
2021,salaries_agricoles,4870.1,certifiee
2021,solidarite_etat,1351.0,certifiee
2021,supplementaire,14664.1,certifiee
